Name,Market,Total Funding (USD),Status,Country Code,City,Funding Rounds,Founded At,Founded Quarter,First Funding At,Last Funding At,Seed,Venture,Angel,Grant,Round A,Round B,Round C,Round D,Round E,Startup Age,Funding Duration Days,Funding Velocity,Rounds per Year,Continent,Market Group,Total Debt (USD),Total Equity (USD)
Wound Care Technologies, Health Care ,2496831.0,operating,USA,Chanhassen,3.0,2004-01-01,2004-Q1,2009-02-06,2013-03-04,0.0,2239331.0,0.0,0.0,0.0,1020076.0,0.0,0.0,0.0,21,1487,1679.1062542030934,0.13636363636363635,North America,Health & Biotech,257500.0,0.0
Woven Orthopedic Technologies, Hardware + Software ,2055000.0,operating,USA,Manchester,1.0,2007-01-01,2007-Q1,2014-07-18,2014-07-18,0.0,2055000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,inf,0.05263157894736842,North America,Software & IT,0.0,0.0
Wowza Media Systems, Software ,2000000.0,operating,USA,Evergreen,1.0,2005-01-01,2005-Q1,2012-03-28,2012-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,inf,0.047619047619047616,North America,Software & IT,0.0,0.0
WP Rocket Holdings, Biotechnology ,25480000.0,operating,USA,New York,1.0,2011-01-01,2011-Q1,2011-08-30,2011-08-30,0.0,25480000.0,0.0,0.0,25480000.0,0.0,0.0,0.0,0.0,14,0,inf,0.06666666666666667,North America,Health & Biotech,0.0,0.0
wpXtreme, Cloud Computing ,132000.0,operating,USA,Boston,2.0,2012-08-01,2012-Q3,2012-08-10,2013-11-10,100000.0,0.0,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,13,457,288.8402625820569,0.14285714285714285,North America,Software & IT,0.0,0.0
Wrike, Enterprise Software ,11000000.0,operating,USA,Mountain View,2.0,2006-01-01,2006-Q1,2012-06-13,2013-10-01,0.0,11000000.0,0.0,0.0,11000000.0,0.0,0.0,0.0,0.0,19,475,23157.894736842107,0.1,North America,Software & IT,0.0,0.0
wripl, Enterprise Software ,264094.0,operating,IRL,Dublin,1.0,2013-06-01,2013-Q2,2013-01-01,2013-01-01,0.0,0.0,0.0,264094.0,0.0,0.0,0.0,0.0,0.0,12,0,inf,0.07692307692307693,Europe,Software & IT,0.0,0.0
WSO2, Software ,20500000.0,operating,USA,Palo Alto,3.0,2005-08-01,2005-Q3,2006-06-09,2013-02-04,0.0,20500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2432,8429.276315789473,0.14285714285714285,North America,Software & IT,0.0,0.0
Wuhan Kindstar Diagnostics, Health Care ,11000000.0,operating,CHN,Haidian,1.0,2003-01-01,2003-Q1,2011-06-29,2011-06-29,0.0,11000000.0,0.0,0.0,0.0,11000000.0,0.0,0.0,0.0,22,0,inf,0.043478260869565216,Asia,Health & Biotech,0.0,0.0
WuXi AppTec, Biotechnology ,93470000.0,acquired,CHN,Shanghai,5.0,2000-12-01,2000-Q4,2005-02-01,2008-07-01,0.0,93470000.0,0.0,0.0,2200000.0,0.0,17270000.0,0.0,0.0,25,1246,75016.05136436597,0.19230769230769232,Asia,Health & Biotech,0.0,0.0
Wuxi Qiaolian Wind Power Technology, Clean Technology ,70000000.0,operating,CHN,Wuxi,1.0,2006-01-01,2006-Q1,2008-06-23,2008-06-23,0.0,70000000.0,0.0,0.0,70000000.0,0.0,0.0,0.0,0.0,19,0,inf,0.05,Asia,High Tech,0.0,0.0
WyzeTalk, Software ,750000.0,operating,BWA,,1.0,2011-01-01,2011-Q1,2014-06-02,2014-06-02,0.0,750000.0,0.0,0.0,750000.0,0.0,0.0,0.0,0.0,14,0,inf,0.06666666666666667,Other,Software & IT,0.0,0.0
X BODY, Biotechnology ,4140000.0,operating,USA,Waltham,1.0,2008-01-01,2008-Q1,2012-01-23,2012-01-23,0.0,4140000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,inf,0.05555555555555555,North America,Health & Biotech,0.0,0.0
X-Factor Communications Holdings, Software ,13750000.0,operating,USA,South Hackensack,4.0,2003-01-01,2003-Q1,2012-05-25,2014-01-15,0.0,13350000.0,0.0,0.0,12500000.0,0.0,0.0,0.0,0.0,22,600,22916.666666666668,0.17391304347826086,North America,Software & IT,400000.0,0.0
X-Scan Imaging, Hardware + Software ,600000.0,operating,USA,San Jose,1.0,2006-01-01,2006-Q1,2011-06-06,2011-06-06,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,inf,0.05,North America,Software & IT,0.0,0.0
X1 Technologies, Enterprise Software ,12200000.0,operating,USA,Pasadena,3.0,2003-01-01,2003-Q1,2005-04-21,2014-02-25,0.0,12200000.0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0,22,3232,3774.7524752475247,0.13043478260869565,North America,Software & IT,0.0,0.0
Xactium, Enterprise Software ,349000.0,operating,GBR,Sheffield,1.0,2003-01-01,2003-Q1,2006-04-11,2006-04-11,0.0,349000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,inf,0.043478260869565216,Europe,Software & IT,0.0,0.0
